Start to fetch stock prices history
1259_30m: True, MACD 呈上升趨勢中回測
1259_15m: True, MACD 呈上升趨勢中回測
1268_week: False, MACD 趨勢不明
1268_day: True, MACD 呈上升趨勢
1268_month: True, MACD 呈上升趨勢
1268_60m: True, MACD 呈上升趨勢
1268_30m: False, MACD 趨勢不明
1268_15m: False, MACD 趨勢不明
1301_week: False, MACD 趨勢不明
1301_day: True, MACD 呈上升趨勢
1301_month: True, MACD 呈上升趨勢
1301_60m: False, MACD 趨勢不明
1301_30m: False, MACD 趨勢不明
1301_15m: True, MACD 呈上升趨勢
1304_week: True, MACD 呈上升趨勢
1304_day: True, MACD 呈上升趨勢
1304_month: True, MACD 呈上升趨勢
1304_60m: False, MACD 趨勢不明
1304_30m: True, MACD 呈上升趨勢中回測
1304_15m: True, MACD 呈上升趨勢
1305_week: False, MACD 趨勢不明
1305_day: True, MACD 呈上升趨勢
1305_month: True, MACD 呈上升趨勢
1305_60m: False, MACD 趨勢不明
1305_30m: False, MACD 趨勢不明
1305_15m: True, MACD 呈上升趨勢
1307_week: True, MACD 呈上升趨勢
1307_day: True, MACD 呈上升趨勢
1307_month: True, MACD 呈上升趨勢
1307_60m: False, MACD 趨勢不明
1307_30m: False, MACD 趨勢不明
1307_15m: True, MACD 呈上升趨勢
1308_week: False, MACD 趨勢不明
1308_day: True, MACD 呈上升趨勢
1308_month: True, MACD 呈上升趨勢
1308_60m: False, MACD 趨勢不明
1308_30m: False, MACD 趨勢不明
1308_15m: False, MACD 趨勢不明
1309_week: True, MACD 呈上升趨勢
1309_day: True, MACD 呈上升趨勢
1309_month: True, MACD 呈上升趨勢
1309_60m: False, MACD 趨勢不明
1309_30m: False, MACD 趨勢不明
1309_15m: True, MACD 呈上升趨勢
1310_week: False, MACD 趨勢不明
1310_day: True, MACD 呈上升趨勢
1310_month: True, MACD 呈上升趨勢
1310_60m: False, MACD 趨勢不明
1310_30m: False, MACD 趨勢不明
1310_15m: False, MACD 趨勢不明
1312_week: True, MACD 呈上升趨勢
1312_day: True, MACD 呈上升趨勢
1312_month: True, MACD 呈上升趨勢
1312_60m: False, MACD 趨勢不明
1312_30m: False, MACD 趨勢不明
1312_15m: True, MACD 呈上升趨勢
1313_week: True, MACD 呈上升趨勢
1313_day: True, MACD 呈上升趨勢
1313_month: True, MACD 呈上升趨勢
1313_60m: True, MACD 呈上升趨勢
1313_30m: True, MACD 呈上升趨勢中回測
1313_15m: True, MACD 呈上升趨勢
1315_week: False, MACD 趨勢不明
1315_day: True, MACD 呈上升趨勢
1315_month: True, MACD 呈上升趨勢
1315_60m: True, MACD 呈上升趨勢
1315_30m: True, MACD 呈上升趨勢
1315_15m: True, MACD 呈上升趨勢
1316_week: False, MACD 趨勢不明
1316_day: True, MACD 呈上升趨勢
1316_month: True, MACD 呈上升趨勢
1316_60m: True, MACD 呈上升趨勢
1316_30m: True, MACD 呈上升趨勢
1316_15m: True, MACD 呈上升趨勢
1319_week: False, MACD 趨勢不明
1319_day: True, MACD 呈上升趨勢
1319_month: True, MACD 呈上升趨勢
1319_60m: False, MACD 趨勢不明
1319_30m: False, MACD 趨勢不明
1319_15m: True, MACD 呈上升趨勢
1321_week: True, MACD 呈上升趨勢
1321_day: True, MACD 呈上升趨勢
1321_month: True, MACD 呈上升趨勢
1321_60m: True, MACD 呈上升趨勢
1321_30m: False, MACD 趨勢不明
1321_15m: True, MACD 呈上升趨勢
1323_week: False, MACD 趨勢不明
1323_day: False, MACD 趨勢不明
1323_month: True, MACD 呈上升趨勢
1323_60m: True, MACD 呈上升趨勢
1323_30m: True, MACD 呈上升趨勢
1323_15m: True, MACD 呈上升趨勢
1324_week: True, MACD 呈上升趨勢
1324_day: True, MACD 呈上升趨勢
1324_month: True, MACD 呈上升趨勢
1324_60m: True, MACD 呈上升趨勢
1324_30m: True, MACD 呈上升趨勢中回測
1324_15m: False, MACD 趨勢不明
1325_week: False, MACD 趨勢不明
1325_day: True, MACD 呈上升趨勢
1325_month: False, MACD 趨勢不明
1325_60m: False, MACD 趨勢不明
1325_30m: True, MACD 呈上升趨勢
1325_15m: False, MACD 趨勢不明
1326_week: False, MACD 趨勢不明
