Datetime,Open,High,Low,Close,Adj Close,Volume
2024-08-19 09:00:00,48.1,49.7,47.15,48.75,48.75,3232187
2024-08-19 09:30:00,48.75,49.2,48.35,48.9,48.9,1311159
2024-08-19 10:00:00,48.9,49.2,48.6,49.0,49.0,361014
2024-08-19 10:30:00,49.05,49.15,48.6,48.6,48.6,338056
2024-08-19 11:00:00,48.7,48.9,48.15,48.35,48.35,467999
2024-08-19 11:30:00,48.4,48.5,48.1,48.15,48.15,335691
2024-08-19 12:00:00,48.15,48.25,48.05,48.2,48.2,210596
2024-08-19 12:30:00,48.2,48.25,47.4,47.45,47.45,573466
2024-08-19 13:00:00,47.45,47.6,47.2,47.3,47.3,828518
2024-08-20 09:00:00,47.6,47.95,46.2,46.5,46.5,2193776
2024-08-20 09:30:00,46.5,47.1,46.2,46.8,46.8,866858
2024-08-20 10:00:00,46.85,47.3,46.75,46.9,46.9,344635
2024-08-20 10:30:00,46.8,46.85,46.3,46.45,46.45,382047
2024-08-20 11:00:00,46.45,46.6,46.3,46.35,46.35,237243
2024-08-20 11:30:00,46.3,46.3,45.85,45.95,45.95,744814
2024-08-20 12:00:00,45.95,46.25,45.85,46.25,46.25,220537
2024-08-20 12:30:00,46.25,46.45,46.1,46.2,46.2,306151
2024-08-20 13:00:00,46.2,46.4,46.1,46.2,46.2,409832
2024-08-21 09:00:00,46.3,46.7,45.1,45.95,45.95,2473924
2024-08-21 09:30:00,45.95,46.4,45.75,45.75,45.75,485665
2024-08-21 10:00:00,45.75,45.75,45.2,45.4,45.4,686660
2024-08-21 10:30:00,45.4,45.4,44.9,45.3,45.3,743662
2024-08-21 11:00:00,45.3,45.3,45.1,45.15,45.15,336203
2024-08-21 11:30:00,45.1,45.15,44.85,44.9,44.9,443480
2024-08-21 12:00:00,44.85,45.3,44.5,45.0,45.0,529741
2024-08-21 12:30:00,45.0,45.1,44.7,44.85,44.85,495768
2024-08-21 13:00:00,44.85,44.9,44.3,44.3,44.3,814187
2024-08-22 09:00:00,44.3,45.0,43.3,43.9,43.9,1457946
2024-08-22 09:30:00,43.9,44.1,43.65,43.85,43.85,293868
2024-08-22 10:00:00,43.8,43.8,43.3,43.6,43.6,388873
2024-08-22 10:30:00,43.65,43.95,43.4,43.75,43.75,307444
2024-08-22 11:00:00,43.75,43.9,43.6,43.6,43.6,135848
2024-08-22 11:30:00,43.6,43.75,43.15,43.3,43.3,297498
2024-08-22 12:00:00,43.25,43.3,43.1,43.15,43.15,174412
2024-08-22 12:30:00,43.2,43.75,43.15,43.35,43.35,424155
2024-08-22 13:00:00,43.4,43.55,43.3,43.3,43.3,375974
2024-08-23 09:00:00,43.4,46.0,43.1,44.85,44.85,4912939
2024-08-23 09:30:00,44.85,45.35,44.3,44.7,44.7,1137296
2024-08-23 10:00:00,44.75,45.75,44.75,45.2,45.2,877069
2024-08-23 10:30:00,45.15,45.2,44.6,45.1,45.1,482744
2024-08-23 11:00:00,45.1,45.45,44.95,45.35,45.35,385240
2024-08-23 11:30:00,45.35,45.5,45.1,45.4,45.4,416786
2024-08-23 12:00:00,45.35,45.35,45.0,45.15,45.15,329507
