日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"113/05/02","69,259","2,269,634","32.55","32.90","32.55","32.85","+0.15","45",
"113/05/03","70,634","2,329,167","33.25","33.30","32.85","32.85"," 0.00","66",
"113/05/06","99,296","3,268,127","33.00","33.05","32.70","32.95","+0.10","82",
"113/05/07","172,333","5,622,205","32.75","32.90","32.40","32.65","-0.30","153",
"113/05/08","142,677","4,734,948","32.95","33.55","32.90","33.15","+0.50","103",
"113/05/09","173,830","5,783,830","33.15","33.80","33.00","33.35","+0.20","121",
"113/05/10","161,333","5,395,296","33.45","33.80","33.20","33.60","+0.25","120",
"113/05/13","138,147","4,614,022","33.60","33.85","33.10","33.20","-0.40","122",
"113/05/14","97,543","3,210,054","33.65","33.65","32.75","32.75","-0.45","97",
"113/05/15","114,907","3,784,555","33.00","33.15","32.75","32.85","+0.10","100",
"113/05/16","126,005","4,177,366","33.15","33.35","33.00","33.10","+0.25","87",
"113/05/17","89,610","2,969,422","33.00","33.25","32.95","33.25","+0.15","76",
"113/05/20","93,665","3,116,536","33.70","33.70","33.05","33.25"," 0.00","129",
"113/05/21","98,290","3,269,350","33.85","33.85","33.05","33.30","+0.05","75",
"113/05/22","637,693","22,152,169","33.55","35.50","33.35","34.40","+1.10","500",
"113/05/23","1,291,861","46,056,561","34.90","36.30","34.10","35.90","+1.50","931",
"113/05/24","553,186","19,742,287","35.55","36.10","35.30","35.85","-0.05","400",
"113/05/27","494,358","17,830,611","35.85","36.75","35.50","35.80","-0.05","343",
"113/05/28","292,332","10,476,227","36.00","36.50","35.50","35.55","-0.25","267",
"113/05/29","430,559","15,315,501","35.65","36.05","35.30","35.60","+0.05","218",
"113/05/30","314,581","11,135,232","36.00","36.00","34.60","34.60","-1.00","261",
"113/05/31","177,926","6,237,014","35.15","35.20","34.85","35.00","+0.40","174",
"113/06/03","280,261","9,849,788","35.00","35.50","34.55","35.30","+0.30","207",
"113/06/04","194,547","6,853,071","35.65","35.75","34.60","34.85","-0.45","167",
"113/06/05","251,476","8,876,953","35.00","35.75","34.90","35.00","+0.15","197",
"113/06/06","172,255","6,063,597","35.00","35.60","34.95","35.05","+0.05","129",
"113/06/07","497,410","17,959,959","35.35","36.85","35.10","36.15","+1.10","324",
"113/06/11","457,741","16,043,984","36.15","36.50","34.00","34.45","-1.70","392",
"113/06/12","439,646","14,659,657","34.15","34.50","32.85","33.25","-1.20","374",
"113/06/13","703,093","22,764,843","33.35","33.55","31.80","32.25","-1.00","644",
"113/06/14","371,146","11,957,894","32.35","32.60","31.90","32.10","-0.15","469",
"113/06/17","358,573","11,501,950","32.00","32.55","31.70","32.20","+0.10","259",
"113/06/18","299,579","9,658,825","32.20","32.70","32.00","32.25","+0.05","211",
"113/06/19","469,676","14,984,345","32.50","32.50","31.70","31.90","-0.35","364",
"113/06/20","215,078","6,882,188","31.90","32.35","31.90","32.15","+0.25","184",
"113/06/21","361,110","11,569,958","32.15","32.30","31.85","32.20","+0.05","277",
"113/06/24","615,675","19,563,167","32.25","32.25","31.30","31.60","-0.60","490",
"113/06/25","366,726","11,504,253","31.85","31.85","31.15","31.60"," 0.00","249",
"113/06/26","709,766","22,193,042","31.80","32.00","30.85","31.05","-0.55","629",
"113/06/27","194,709","6,007,633","31.05","31.05","30.70","30.85","-0.20","218",
"113/06/28","473,710","14,827,352","30.90","31.70","30.90","31.20","+0.35","320",
"113/07/01","370,384","11,608,398","31.20","31.55","31.20","31.20"," 0.00","290",
"113/07/02","385,811","11,976,026","31.40","31.40","30.90","31.00","-0.20","284",
"113/07/03","1,035,108","32,199,528","31.05","31.65","30.00","31.65","+0.65","1,615",
"113/07/04","2,388,205","81,386,226","32.40","34.80","32.30","34.80","+3.15","2,213",
"113/07/05","5,315,759","195,164,391","36.00","38.00","35.40","37.10","+2.30","4,832",
"113/07/08","2,563,596","95,035,402","37.30","38.50","36.10","36.45","-0.65","2,739",
"113/07/09","1,270,710","44,817,094","36.10","36.30","34.70","35.00","-1.45","3,392",
"113/07/10","948,197","33,470,349","35.00","36.30","34.60","34.95","-0.05","1,906",
"113/07/11","574,554","20,368,109","35.40","36.15","34.80","35.45","+0.50","891",
"113/07/12","2,843,963","106,040,934","35.05","38.40","35.05","38.10","+2.65","2,162",
"113/07/15","1,891,828","71,465,001","39.10","39.10","36.80","37.30","-0.80","1,862",
"113/07/16","1,139,384","42,875,374","37.30","38.40","37.00","37.15","-0.15","890",
"113/07/17","819,943","30,668,446","37.40","38.05","36.95","37.45","+0.30","827",
"113/07/18","1,045,261","39,228,179","37.15","38.45","36.50","37.65","+0.20","980",
"113/07/19","860,192","32,392,993","38.25","38.25","37.25","37.50","-0.15","793",
"113/07/22","703,616","25,559,535","37.50","37.60","35.20","36.05","-1.45","1,093",
"113/07/23","463,644","16,742,345","36.25","37.10","35.50","35.80","-0.25","1,059",
"113/07/26","731,110","25,285,294","35.60","35.60","34.10","34.30","-1.50","2,288",
"113/07/29","862,310","28,998,882","34.35","34.70","32.75","33.15","-1.15","2,138",
"113/07/30","258,809","8,671,232","33.00","34.00","33.00","33.80","+0.65","783",
"113/07/31","238,906","8,115,058","33.50","34.30","33.50","33.95","+0.15","476",
"113/08/01","817,025","29,561,105","34.20","37.00","34.20","36.15","+2.20","665",
"113/08/02","1,114,318","40,262,452","36.10","36.90","35.15","36.30","+0.15","1,089",
"113/08/05","1,451,091","50,210,328","35.95","36.60","32.75","34.30","-2.00","1,667",
"113/08/06","4,417,822","162,488,234","36.00","37.70","33.45","37.45","+3.15","2,562",
"113/08/07","5,522,255","220,990,375","38.05","41.10","37.80","40.65","+3.20","3,860",
"113/08/08","7,803,411","317,110,187","40.65","42.05","38.65","39.20","-1.45","4,975",
"113/08/09","6,234,379","263,558,794","40.85","43.10","40.05","43.10","+3.90","2,761",
"113/08/12","16,071,156","738,987,546","46.80","47.40","43.70","45.20","+2.10","9,605",
"113/08/13","15,810,839","726,367,678","44.95","47.80","43.90","45.20"," 0.00","10,093",
"113/08/14","10,539,131","504,473,891","45.65","49.70","44.70","49.70","+4.50","5,171",
"113/08/15","37,667,396","1,874,862,005","52.30","52.30","47.95","49.85","+0.15","21,097",
"113/08/16","14,946,815","741,688,184","50.50","51.50","48.20","48.25","-1.60","9,875",
"113/08/19","8,881,697","429,966,337","48.10","49.70","47.15","47.15","-1.10","5,756",
"113/08/20","6,048,692","281,705,317","47.60","47.95","45.85","46.15","-1.00","4,035",
"113/08/21","7,440,849","337,608,408","46.30","46.70","44.20","44.20","-1.95","4,457",
"113/08/22","4,797,415","209,710,967","44.30","45.00","43.10","43.30","-0.90","3,780",
"113/08/23","10,128,176","455,552,238","43.40","46.00","43.10","45.10","+1.80","7,257",
"113/08/26","3,759,272","166,791,118","45.10","45.45","43.20","43.20","-1.90","3,060",
"113/08/27","9,025,973","413,776,654","43.10","47.50","42.75","47.50","+4.30","5,764",
"113/08/28","24,579,956","1,213,398,889","48.45","51.10","47.80","48.00","+0.50","16,644",
"113/08/29","5,453,333","257,804,574","47.65","48.80","46.55","46.70","-1.30","4,121",
"113/08/30","4,293,462","196,897,652","46.90","47.80","44.75","44.90","-1.80","4,038",
"113/09/02","1,771,465","79,149,689","45.10","45.50","44.10","44.10","-0.80","1,494",
"113/09/03","5,686,638","256,769,514","44.05","46.25","43.75","44.50","+0.40","3,913",
"113/09/04","2,627,759","110,735,851","41.80","43.35","40.25","42.40","-2.10","2,150",
"113/09/05","2,300,500","98,876,245","43.00","44.30","42.20","42.60","+0.20","1,650",
"113/09/06","1,601,292","67,666,465","43.50","43.50","41.65","41.80","-0.80","1,276",
